id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr
401757223,2025,1,regular,2025-08-31 01:00:00+00:00,False,False,False,False,,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,Conference USA,,,,1246.0,,2803,Bryant,fcs,CAA,,,,,,,,,2025-08-30,Saturday,9:00 PM
401754521,2025,1,regular,2025-08-31 01:00:00+00:00,False,False,False,False,,3735,Gerald J. Ford Stadium,2567,SMU,fbs,ACC,,,,1717.0,,2837,East Texas A&M,fcs,Southland,,,,,,,,,2025-08-30,Saturday,9:00 PM
401760361,2025,1,regular,2025-08-31 01:30:00+00:00,False,False,False,False,,3660,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,,,,,,290,Georgia Southern,fbs,Sun Belt,,,,1457.0,,,,,2025-08-30,Saturday,9:30 PM
401756850,2025,1,regular,2025-08-31 02:00:00+00:00,False,False,False,False,,3947,Mountain America Stadium,9,Arizona State,fbs,Big 12,,,,1700.0,,2464,Northern Arizona,fcs,Big Sky,,,,,,,,,2025-08-30,Saturday,10:00 PM
401752947,2025,1,regular,2025-08-31 02:00:00+00:00,False,False,False,False,,3820,Gesa Field,265,Washington State,fbs,Pac-12,,,,1520.0,,70,Idaho,fcs,Big Sky,,,,,,,,,2025-08-30,Saturday,10:00 PM
401756849,2025,1,regular,2025-08-31 02:30:00+00:00,False,False,False,False,,3619,Arizona Stadium,12,Arizona,fbs,Big 12,,,,1371.0,,62,Hawai'i,fbs,Mountain West,,,,,,,,,2025-08-30,Saturday,10:30 PM
401752936,2025,1,regular,2025-08-31 02:30:00+00:00,False,False,False,False,,3893,Reser Stadium,204,Oregon State,fbs,Pac-12,,,,1406.0,,25,California,fbs,ACC,,,,1519.0,,,,,2025-08-30,Saturday,10:30 PM
401752800,2025,1,regular,2025-08-31 03:00:00+00:00,False,False,False,False,,1056,Rose Bowl,26,UCLA,fbs,Big Ten,,,,1492.0,,254,Utah,fbs,Big 12,,,,1542.0,,,,,2025-08-30,Saturday,11:00 PM
401752805,2025,1,regular,2025-08-31 03:00:00+00:00,False,False,False,False,,3765,Husky Stadium,264,Washington,fbs,Big Ten,,,,1585.0,,36,Colorado State,fbs,Mountain West,,,,1382.0,,,,,2025-08-30,Saturday,11:00 PM
401752680,2025,1,regular,2025-08-31 19:00:00+00:00,False,False,True,False,,5348,Mercedes-Benz Stadium,259,Virginia Tech,fbs,ACC,,,,1598.0,,2579,South Carolina,fbs,SEC,,,,1706.0,,,,Aflac Kickoff,2025-08-31,Sunday,3:00 PM
401754522,2025,1,regular,2025-08-31 23:30:00+00:00,False,False,False,False,,3948,Hard Rock Stadium,2390,Miami,fbs,ACC,,,,1736.0,,87,Notre Dame,fbs,FBS Independents,,,,1936.0,,,,Aflac Kickoff,2025-08-31,Sunday,7:30 PM
401754523,2025,1,regular,2025-09-02 00:00:00+00:00,False,False,False,False,,3787,Kenan Stadium,153,North Carolina,fbs,ACC,,,,1497.0,,2628,TCU,fbs,Big 12,,,,1633.0,,,,,2025-09-01,Monday,8:00 PM
401754528,2025,2,regular,2025-09-05 23:00:00+00:00,False,False,False,False,,3873,L&N Federal Credit Union Stadium,97,Louisville,fbs,ACC,,,,,,256,James Madison,fbs,Sun Belt,,,,,,,,,2025-09-05,Friday,7:00 PM
401752817,2025,2,regular,2025-09-05 23:30:00+00:00,False,False,True,False,,5960,Lanny and Sharon Martin Stadium,77,Northwestern,fbs,Big Ten,,,,,,2710,Western Illinois,fcs,Big South-OVC,,,,,,,,,2025-09-05,Friday,7:30 PM
401752826,2025,2,regular,2025-09-05 23:30:00+00:00,False,False,False,False,,3665,SECU Stadium,120,Maryland,fbs,Big Ten,,,,,,2459,Northern Illinois,fbs,Mid-American,,,,,,,,,2025-09-05,Friday,7:30 PM
401760363,2025,2,regular,2025-09-06 01:00:00+00:00,False,False,False,False,,3653,Albertsons Stadium,68,Boise State,fbs,Mountain West,,,,,,331,Eastern Washington,fcs,Big Sky,,,,,,,,,2025-09-05,Friday,9:00 PM
401760366,2025,2,regular,2025-09-06 04:00:00+00:00,True,False,False,False,,3971,University Stadium (NM),167,New Mexico,fbs,Mountain West,,,,,,304,Idaho State,fcs,Big Sky,,,,,,,,,2025-09-06,Saturday,
